player_lo_id,player_hi_id,matches,lo_wins,hi_wins,draws,lo_games,hi_games,group_matches,playoff_matches,last_season
P0004,P0108,1,1,0,0,7,3,1,0,2005-s2
P0004,P0070,1,0,0,1,5,5,1,0,2005-s2
P0004,P0081,1,0,1,0,4,6,1,0,2005-s2
P0089,P0108,1,0,0,1,5,5,1,0,2005-s2
P0070,P0089,1,1,0,0,7,3,1,0,2005-s2
P0081,P0089,1,1,0,0,8,2,1,0,2005-s2
P0070,P0108,1,1,0,0,8,2,1,0,2005-s2
P0081,P0108,1,1,0,0,9,1,1,0,2005-s2
P0070,P0081,1,0,1,0,0,10,1,0,2005-s2
P0005,P0007,1,1,0,0,6,4,1,0,2005-s3
P0005,P0069,1,1,0,0,7,3,1,0,2005-s3
P0005,P0139,1,1,0,0,7,3,1,0,2005-s3
P0005,P0118,1,1,0,0,7,3,1,0,2005-s3
P0005,P0109,1,1,0,0,8,2,1,0,2005-s3
P0007,P0069,1,1,0,0,6,4,1,0,2005-s3
P0007,P0118,1,1,0,0,6,4,1,0,2005-s3
P0007,P0109,1,1,0,0,10,0,1,0,2005-s3
P0007,P0082,1,1,0,0,8,2,1,0,2005-s3
P0069,P0139,1,1,0,0,6,4,1,0,2005-s3
P0069,P0118,1,0,1,0,3,7,1,0,2005-s3
P0069,P0109,1,1,0,0,6,4,1,0,2005-s3
P0118,P0139,1,1,0,0,6,4,1,0,2005-s3
P0109,P0139,1,0,0,1,5,5,1,0,2005-s3
P0082,P0139,1,0,0,1,5,5,1,0,2005-s3
P0109,P0118,1,0,1,0,3,7,1,0,2005-s3
P0082,P0118,1,1,0,0,10,0,1,0,2005-s3
P0027,P0042,1,1,0,0,9,1,1,0,2005-s3
P0027,P0072,1,0,0,1,5,5,1,0,2005-s3
P0022,P0027,1,0,1,0,0,10,1,0,2005-s3
P0027,P0143,1,1,0,0,7,3,1,0,2005-s3
P0042,P0072,1,1,0,0,7,3,1,0,2005-s3
P0022,P0042,1,0,1,0,0,10,1,0,2005-s3
P0042,P0143,1,0,1,0,4,6,1,0,2005-s3
P0042,P0099,1,1,0,0,8,2,1,0,2005-s3
P0041,P0042,1,0,1,0,2,8,1,0,2005-s3
P0022,P0072,1,0,1,0,0,10,1,0,2005-s3
P0072,P0143,1,0,1,0,4,6,1,0,2005-s3
P0072,P0099,1,1,0,0,8,2,1,0,2005-s3
P0041,P0072,1,1,0,0,6,4,1,0,2005-s3
P0099,P0143,1,0,1,0,4,6,1,0,2005-s3
P0053,P0130,1,0,1,0,3,7,1,0,2005-s3
P0045,P0130,1,0,1,0,4,6,1,0,2005-s3
P0105,P0130,1,1,0,0,7,3,1,0,2005-s3
P0097,P0130,1,0,1,0,1,9,1,0,2005-s3
P0123,P0130,1,0,1,0,4,6,1,0,2005-s3
P0124,P0130,1,0,1,0,2,8,1,0,2005-s3
P0045,P0053,1,1,0,0,6,4,1,0,2005-s3
P0053,P0105,1,0,1,0,0,10,1,0,2005-s3
P0053,P0097,1,0,1,0,3,7,1,0,2005-s3
P0053,P0123,1,0,1,0,3,7,1,0,2005-s3
P0053,P0124,1,1,0,0,6,4,1,0,2005-s3
P0045,P0105,1,0,0,1,5,5,1,0,2005-s3
P0045,P0097,1,1,0,0,7,3,1,0,2005-s3
P0045,P0123,1,0,0,1,5,5,1,0,2005-s3
P0045,P0124,1,1,0,0,6,4,1,0,2005-s3
P0097,P0105,1,0,0,1,5,5,1,0,2005-s3
P0105,P0123,1,0,1,0,3,7,1,0,2005-s3
P0105,P0124,1,0,1,0,4,6,1,0,2005-s3
P0097,P0123,1,0,1,0,4,6,1,0,2005-s3
P0097,P0124,1,0,1,0,3,7,1,0,2005-s3
P0073,P0080,1,0,0,1,5,5,1,0,2005-s3
P0061,P0073,1,0,1,0,2,8,1,0,2005-s3
P0016,P0073,1,0,1,0,4,6,1,0,2005-s3
P0047,P0073,1,0,1,0,2,8,1,0,2005-s3
P0011,P0073,1,0,1,0,3,7,1,0,2005-s3
P0073,P0096,1,1,0,0,6,4,1,0,2005-s3
P0061,P0080,1,0,1,0,4,6,1,0,2005-s3
P0047,P0080,1,0,0,1,5,5,1,0,2005-s3
P0011,P0080,1,0,1,0,2,8,1,0,2005-s3
P0080,P0096,1,1,0,0,9,1,1,0,2005-s3
P0047,P0061,1,0,0,1,5,5,1,0,2005-s3
P0011,P0061,1,0,1,0,2,8,1,0,2005-s3
P0061,P0096,1,1,0,0,8,2,1,0,2005-s3
P0016,P0096,1,0,0,1,5,5,1,0,2005-s3
P0047,P0096,1,1,0,0,6,4,1,0,2005-s3
P0011,P0096,1,0,1,0,3,7,1,0,2005-s3
P0031,P0113,1,0,1,0,0,10,1,0,2005-s3
P0002,P0113,1,0,1,0,4,6,1,0,2005-s3
P0113,P0132,1,0,0,1,5,5,1,0,2005-s3
P0089,P0113,1,0,1,0,4,6,1,0,2005-s3
P0039,P0113,1,0,1,0,2,8,1,0,2005-s3
P0002,P0132,1,0,1,0,2,8,1,0,2005-s3
P0002,P0089,1,1,0,0,6,4,1,0,2005-s3
P0002,P0039,1,1,0,0,10,0,1,0,2005-s3
P0089,P0132,1,0,1,0,2,8,1,0,2005-s3
P0064,P0132,1,0,1,0,2,8,1,0,2005-s3
P0039,P0132,1,0,1,0,3,7,1,0,2005-s3
P0039,P0089,1,1,0,0,6,4,1,0,2005-s3
P0004,P0076,1,1,0,0,7,3,1,0,2005-s3
